id_respondente,sexo_desc,escolaridade_desc,raca_desc,religiao_desc,rend1_desc,rend2_desc,regiao_desc,cond_desc,porte_desc,p4_desc,p6a_desc,p6b_desc,p6c_desc,p6d_desc,p6e_desc,idade_num,idade_num_norm,p5_desc
962,MAS,3ª série (ou 4º ano),Preta,Assembléia de Deus,ATÉ 1,ATÉ 1,SUDESTE,INTERIOR,DE 10.001 A 20.000,"Atuar como motorista e/ou realizar entregas por aplicativo (Uber, 99, Ifood, Rappi e etc.)",Discorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,Concorda totalmente,54.0,0.5135135135135136,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
963,MAS,1ª série,Parda,Assembléia de Deus,MAIS DE 2 A 5,MAIS DE 2 A 5,NORDESTE,CAPITAL,MAIS DE 500.000,Não precisou fazer atividade extra,Discorda em parte,Concorda em parte,Discorda totalmente,Discorda em parte,Discorda em parte,58.0,0.5675675675675675,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
964,FEM,3ª série,Parda,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,NORDESTE,CAPITAL,MAIS DE 500.000,Não precisou fazer atividade extra,Discorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,26.0,0.13513513513513514,Tenho visto mais favelas/barracos/áreas ocupadas
965,MAS,3ª série,Branca,Assembléia de Deus,ATÉ 1,MAIS DE 1 A 2,NORDESTE,CAPITAL,MAIS DE 500.000,Vendedor ambulante/ Camelô,Concorda em parte,Concorda totalmente,Concorda em parte,Discorda totalmente,Discorda em parte,21.0,0.06756756756756754,Não sabe/ Não respondeu
966,MAS,Superior completo,Parda,Católica Apostólica Romana,MAIS DE 2 A 5,MAIS DE 2 A 5,NORDESTE,CAPITAL,MAIS DE 500.000,Não precisou fazer atividade extra,Discorda em parte,Concorda totalmente,Concorda totalmente,Discorda em parte,Discorda em parte,29.0,0.17567567567567566,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
967,MAS,Superior completo,Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,NORDESTE,CAPITAL,MAIS DE 500.000,"Produzir alimentos em casa para vender (bolos, pães, doces, refeições, etc.)",Concorda em parte,Concorda totalmente,Concorda totalmente,Concorda em parte,Discorda totalmente,33.0,0.22972972972972971,Tenho visto mais pessoas trabalhando nos semáforos/ruas
968,MAS,4ª série (ou 5º ano),Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORDESTE,CAPITAL,MAIS DE 500.000,Não precisou fazer atividade extra,Concorda em parte,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,66.0,0.6756756756756757,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
969,FEM,4ª série (ou 5º ano),Parda,Universal do Reino de Deus,ATÉ 1,MAIS DE 1 A 2,NORDESTE,CAPITAL,MAIS DE 500.000,"Fazer trabalhos manuais, como bijuterias, artesanatos",Concorda em parte,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda totalmente,66.0,0.6756756756756757,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
970,FEM,3ª série,Branca,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,NORDESTE,CAPITAL,MAIS DE 500.000,"Bico de serviços de beleza (cabeleireiro, barbeiro, manicure, depilação, entre outros)",Discorda em parte,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda em parte,46.0,0.4054054054054055,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
971,FEM,3ª série,Preta,Batista/ Metodista/ Presbiteriana,ATÉ 1,MAIS DE 1 A 2,NORDESTE,CAPITAL,MAIS DE 500.000,Cuidar de idosos,"Não concorda, nem discorda",Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,48.0,0.43243243243243246,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
972,FEM,3ª série,Parda,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,NORDESTE,CAPITAL,MAIS DE 500.000,"Bico de serviços de beleza (cabeleireiro, barbeiro, manicure, depilação, entre outros)",Discorda em parte,Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,36.0,0.2702702702702703,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
973,FEM,Analfabeto,Preta,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORTE,INTERIOR,DE 100.001 A 500.000,Não precisou fazer atividade extra,Concorda em parte,Concorda em parte,"Não concorda, nem discorda",Concorda em parte,Concorda em parte,57.0,0.5540540540540541,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
974,MAS,4ª série (ou 5º ano),Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,NORTE,INTERIOR,DE 100.001 A 500.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,"Não concorda, nem discorda","Não concorda, nem discorda",49.0,0.44594594594594594,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
